"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2020-01-01 18:52:59.249670","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.159.131? Tell 192.168.159.10"
"2","2020-01-01 18:52:59.250017","VMware_48:50:c7","VMware_c0:00:08","ARP","42","192.168.159.131 is at 00:0c:29:48:50:c7"
"3","2020-01-01 18:53:10.732644","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.159.131? Tell 192.168.159.11"
"4","2020-01-01 18:53:10.732845","VMware_48:50:c7","VMware_c0:00:08","ARP","42","192.168.159.131 is at 00:0c:29:48:50:c7"
"5","2020-01-01 18:53:15.830120","192.168.159.10","192.168.159.131","TCP","58","62860  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"6","2020-01-01 18:53:15.830322","192.168.159.131","192.168.159.10","TCP","58","80  >  62860 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"7","2020-01-01 18:53:15.830386","192.168.159.10","192.168.159.131","TCP","54","62860  >  80 [RST] Seq=1 Win=0 Len=0"
"8","2020-01-01 18:53:15.881431","192.168.159.10","192.168.159.131","TCP","66","5339  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","2020-01-01 18:53:15.881586","192.168.159.131","192.168.159.10","TCP","66","80  >  5339 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"10","2020-01-01 18:53:15.881789","192.168.159.10","192.168.159.131","TCP","54","5339  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"11","2020-01-01 18:53:15.933244","192.168.159.10","192.168.159.131","HTTP","72","GET / HTTP/1.0 "
"12","2020-01-01 18:53:15.933393","192.168.159.131","192.168.159.10","TCP","54","80  >  5339 [ACK] Seq=1 Ack=19 Win=5888 Len=0"
"13","2020-01-01 18:53:15.933781","192.168.159.131","192.168.159.10","HTTP","986","HTTP/1.1 200 OK  (text/html)"
"14","2020-01-01 18:53:15.934092","192.168.159.131","192.168.159.10","TCP","54","80  >  5339 [FIN, ACK] Seq=933 Ack=19 Win=5888 Len=0"
"15","2020-01-01 18:53:15.934135","192.168.159.10","192.168.159.131","TCP","54","5339  >  80 [ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"16","2020-01-01 18:53:16.033959","192.168.159.10","192.168.159.131","TCP","54","5339  >  80 [FIN, ACK] Seq=19 Ack=934 Win=1050112 Len=0"
"17","2020-01-01 18:53:16.034083","192.168.159.131","192.168.159.10","TCP","54","80  >  5339 [ACK] Seq=934 Ack=20 Win=5888 Len=0"
"18","2020-01-01 18:53:16.034345","192.168.159.10","192.168.159.131","TCP","66","5340  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"19","2020-01-01 18:53:16.034451","192.168.159.131","192.168.159.10","TCP","66","80  >  5340 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"20","2020-01-01 18:53:16.034549","192.168.159.10","192.168.159.131","TCP","54","5340  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"21","2020-01-01 18:53:16.086846","192.168.159.10","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"22","2020-01-01 18:53:16.087095","192.168.159.131","192.168.159.10","TCP","54","80  >  5340 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"23","2020-01-01 18:53:16.087346","192.168.159.131","192.168.159.10","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"24","2020-01-01 18:53:16.129661","192.168.159.10","192.168.159.131","TCP","54","5340  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"25","2020-01-01 18:53:17.887233","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.159.131? Tell 192.168.159.12"
"26","2020-01-01 18:53:17.887450","VMware_48:50:c7","VMware_c0:00:08","ARP","42","192.168.159.131 is at 00:0c:29:48:50:c7"
"27","2020-01-01 18:53:23.769291","VMware_c0:00:08","Broadcast","ARP","42","Who has 192.168.159.131? Tell 192.168.159.14"
"28","2020-01-01 18:53:23.769466","VMware_48:50:c7","VMware_c0:00:08","ARP","42","192.168.159.131 is at 00:0c:29:48:50:c7"
"29","2020-01-01 18:53:26.232998","192.168.159.10","192.168.159.131","TCP","54","5340  >  80 [FIN, ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"30","2020-01-01 18:53:26.233422","192.168.159.131","192.168.159.10","TCP","54","80  >  5340 [FIN, ACK] Seq=914 Ack=136 Win=6912 Len=0"
"31","2020-01-01 18:53:26.233558","192.168.159.10","192.168.159.131","TCP","54","5340  >  80 [ACK] Seq=136 Ack=915 Win=1050112 Len=0"
"32","2020-01-01 18:53:26.233658","192.168.159.10","192.168.159.131","TCP","66","5343  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"33","2020-01-01 18:53:26.233996","192.168.159.131","192.168.159.10","TCP","66","80  >  5343 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"34","2020-01-01 18:53:26.234168","192.168.159.10","192.168.159.131","TCP","54","5343  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"35","2020-01-01 18:53:26.293786","192.168.159.10","192.168.159.131","HTTP","188","GET / HTTP/1.1 "
"36","2020-01-01 18:53:26.294221","192.168.159.131","192.168.159.10","TCP","54","80  >  5343 [ACK] Seq=1 Ack=135 Win=6912 Len=0"
"37","2020-01-01 18:53:26.294863","192.168.159.131","192.168.159.10","HTTP","967","HTTP/1.1 200 OK  (text/html)"
"38","2020-01-01 18:53:26.335688","192.168.159.10","192.168.159.131","TCP","54","5343  >  80 [ACK] Seq=135 Ack=914 Win=1050112 Len=0"
"39","2020-01-01 18:53:27.279389","192.168.159.11","192.168.159.131","TCP","58","45136  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"40","2020-01-01 18:53:27.279881","192.168.159.131","192.168.159.11","TCP","58","80  >  45136 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460"
"41","2020-01-01 18:53:27.280029","192.168.159.11","192.168.159.131","TCP","54","45136  >  80 [RST] Seq=1 Win=0 Len=0"
"42","2020-01-01 18:53:27.332912","192.168.159.11","192.168.159.131","TCP","66","5345  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"43","2020-01-01 18:53:27.333121","192.168.159.131","192.168.159.11","TCP","66","80  >  5345 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM WS=128"
"44","2020-01-01 18:53:27.333254","192.168.159.11","192.168.159.131","TCP","54","5345  >  80 [ACK] Seq=1 Ack=1 Win=1051136 Len=0"
"45","2020-01-01 18:53:27.389386","192.168.159.11","192.168.159.131","HTTP","72","GET / HTTP/1.0 "
"46","2020-01-01 18:53:27.389619","192.168.159.131","192.168.159.11","TCP","54","80  >  5345 [ACK] Seq=1 Ack=19 Win=5888 Len=0"
